Accident_ID,District,Police_Station,Accident_DateTime,Latitude,Longitude,Road_Name,Road_Classification,Severity,No_of_Vehicles,Drivers_Killed,Drivers_Grievous_Injury,Drivers_Minor_Injury,Passengers_Killed,Passengers_Grievous_Injury,Passengers_Minor_Injury,Pedestrians_Killed,Pedestrians_Grievous_Injury,Pedestrians_Minor_Injury,Collision_Type,Collision_Feature,Weather_Condition,Light_Condition,Visibility,Traffic_Violation,Date,Year,Month,Hour,DayOfWeek,Month_Name,Severity_Score,Total_Killed,Total_Injured,Time_Category
ACC00351,Bhavnagar,Mahuva PS,2022-07-14 20:25:00,23.166714,74.321396,Airport Road,District Road,Fatal,4,0,0,0,2,0,0,0,1,0,Side Impact,Bridge,Clear,Daylight,Poor,Overloading,2022-07-14,2022,7,20,Thursday,Jul,3,2,1,Evening
ACC00352,Surat,Katargam PS,2023-02-23 19:43:00,21.492662,72.88908,City Road,State Highway,Fatal,4,1,2,1,2,0,2,1,1,0,Pedestrian Hit,Bridge,Cloudy,Night - Street Light On,Poor,Unknown,2023-02-23,2023,2,19,Thursday,Feb,3,4,6,Evening
ACC00353,Ahmedabad,Bodakdev PS,2023-07-11 10:54:00,22.214419,71.606999,SH-41,National Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Pothole Area,Rainy,Dawn/Dusk,Unknown,Signal Jumping,2023-07-11,2023,7,10,Tuesday,Jul,0,0,0,Morning
ACC00354,Anand,Borsad PS,2021-08-13 18:43:00,22.647406,71.059856,Airport Road,State Highway,Damage Only,4,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Straight Road,Cloudy,Night - No Street Light,Unknown,Unknown,2021-08-13,2021,8,18,Friday,Aug,0,0,0,Evening
ACC00356,Bharuch,Bharuch City PS,2024-09-16 07:15:00,21.535658,72.434345,SH-41,Urban Road,Minor,4,0,0,3,0,0,2,0,0,1,Side Impact,Curve,Clear,Night - No Street Light,Good,Overloading,2024-09-16,2024,9,7,Monday,Sep,1,0,6,Morning
ACC00357,Gandhinagar,Sector 21 PS,2024-11-26 15:37:00,21.555966,70.131255,NH-27,District Road,Minor,3,0,0,1,0,0,2,0,0,1,Pedestrian Hit,Pothole Area,Unknown,Night - Street Light On,Poor,Overloading,2024-11-26,2024,11,15,Tuesday,Nov,1,0,4,Afternoon
ACC00358,Bharuch,Vagra PS,2022-02-18 15:40:00,23.720888,71.475754,SH-14,State Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Side Impact,Unknown,Hazy,Dawn/Dusk,Moderate,Unknown,2022-02-18,2022,2,15,Friday,Feb,0,0,0,Afternoon
ACC00360,Rajkot,Kalawad PS,2023-04-04 08:39:00,23.189177,73.649648,City Road,National Highway,Minor,0,0,0,2,0,0,2,0,0,1,Single Vehicle,Curve,Hazy,Dawn/Dusk,Moderate,Unknown,2023-04-04,2023,4,8,Tuesday,Apr,1,0,5,Morning
ACC00361,Bhavnagar,Bhavnagar City PS,2023-12-06 06:23:00,21.20572,72.92284,SH-41,Rural Road,Grievous,0,0,1,2,0,2,1,0,1,0,Hit & Run,Flyover,Clear,Night - Street Light On,Unknown,Mobile Phone Use,2023-12-06,2023,12,6,Wednesday,Dec,2,0,7,Morning
ACC00362,Rajkot,Rajkot Central PS,2021-11-04 06:01:00,23.905253,71.626898,Ring Road,National Highway,Minor,1,0,0,2,0,0,0,0,0,0,Hit & Run,Straight Road,Rainy,Night - Street Light On,Poor,Signal Jumping,2021-11-04,2021,11,6,Thursday,Nov,1,0,2,Morning
ACC00364,Junagadh,Manavadar PS,2023-12-12 08:31:00,21.195154,73.18213,SH-20,National Highway,Minor,2,0,0,1,0,0,0,0,0,0,Pedestrian Hit,Bridge,Unknown,Night - Street Light On,Unknown,Wrong Side Driving,2023-12-12,2023,12,8,Tuesday,Dec,1,0,1,Morning
ACC00365,Gandhinagar,Kalol PS,2023-04-17 08:55:00,22.355649,74.076879,SH-20,State Highway,Grievous,4,0,2,2,0,0,1,0,0,0,Rollover,Pothole Area,Rainy,Night - No Street Light,Moderate,No Helmet,2023-04-17,2023,4,8,Monday,Apr,2,0,5,Morning
ACC00366,Rajkot,Kalavad Road PS,2024-02-06 12:19:00,23.322837,72.417065,Airport Road,National Highway,Damage Only,0,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Bridge,Cloudy,Daylight,Unknown,Mobile Phone Use,2024-02-06,2024,2,12,Tuesday,Feb,0,0,0,Afternoon
ACC00367,Ahmedabad,Maninagar PS,2022-09-02 06:55:00,24.313098,73.640644,NH-8,Urban Road,Minor,4,0,0,2,0,0,2,0,0,1,Single Vehicle,Straight Road,Foggy,Daylight,Unknown,Overloading,2022-09-02,2022,9,6,Friday,Sep,1,0,5,Morning
ACC00368,Ahmedabad,Maninagar PS,2024-12-01 08:32:00,22.036004,71.550685,SH-20,State Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Hit & Run,Flyover,Clear,Night - Street Light On,Unknown,Unknown,2024-12-01,2024,12,8,Sunday,Dec,0,0,0,Morning
ACC00370,Vadodara,Waghodiya PS,2021-12-22 21:37:00,23.777832,70.711327,NH-53,State Highway,Grievous,2,0,2,0,0,1,0,0,0,0,Hit & Run,Flyover,Hazy,Night - Street Light On,Good,Over Speeding,2021-12-22,2021,12,21,Wednesday,Dec,2,0,3,Evening
ACC00371,Anand,Petlad PS,2023-05-29 19:16:00,24.506951,71.67363,NH-48,District Road,Grievous,2,0,2,0,0,2,1,0,1,1,Single Vehicle,Flyover,Cloudy,Dawn/Dusk,Good,Wrong Side Driving,2023-05-29,2023,5,19,Monday,May,2,0,7,Evening
ACC00372,Vadodara,Manjalpur PS,2022-02-28 19:13:00,21.401649,70.735485,Ring Road,Urban Road,Minor,3,0,0,3,0,0,2,0,0,1,Pedestrian Hit,Junction/Intersection,Foggy,Night - Street Light On,Unknown,Wrong Side Driving,2022-02-28,2022,2,19,Monday,Feb,1,0,6,Evening
ACC00373,Ahmedabad,Naranpura PS,2023-08-19 04:55:00,23.287908,72.594016,Expressway,State Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Hit & Run,Junction/Intersection,Clear,Daylight,Good,Over Speeding,2023-08-19,2023,8,4,Saturday,Aug,0,0,0,Night
ACC00376,Junagadh,Veraval PS,2023-06-12 05:20:00,22.359864,71.600751,City Road,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Single Vehicle,Straight Road,Rainy,Night - Street Light On,Good,Wrong Side Driving,2023-06-12,2023,6,5,Monday,Jun,0,0,0,Night
ACC00377,Surat,Adajan PS,2022-06-17 05:45:00,20.633711,71.217938,Bypass Road,District Road,Grievous,2,0,2,0,0,0,0,0,0,1,Side Impact,Speed Breaker,Cloudy,Dawn/Dusk,Unknown,Drunk Driving,2022-06-17,2022,6,5,Friday,Jun,2,0,3,Night
ACC00380,Rajkot,Rajkot Central PS,2024-08-11 09:20:00,23.52148,71.894437,NH-27,Urban Road,Minor,2,0,0,2,0,0,1,0,0,1,Hit & Run,Curve,Cloudy,Daylight,Good,Wrong Side Driving,2024-08-11,2024,8,9,Sunday,Aug,1,0,4,Morning
ACC00381,Vadodara,Sayajigunj PS,2022-09-04 15:51:00,23.809225,72.41526,NH-53,National Highway,Grievous,4,0,2,1,0,2,2,0,0,1,Side Impact,Flyover,Foggy,Night - Street Light On,Unknown,Overloading,2022-09-04,2022,9,15,Sunday,Sep,2,0,8,Afternoon
ACC00383,Gandhinagar,Sector 7 PS,2021-09-19 21:57:00,21.243806,71.681775,Airport Road,National Highway,Minor,4,0,0,3,0,0,2,0,0,0,Head-On,Speed Breaker,Clear,Dawn/Dusk,Unknown,Drunk Driving,2021-09-19,2021,9,21,Sunday,Sep,1,0,5,Evening
ACC00385,Mehsana,Patan PS,2022-06-27 10:58:00,20.961082,72.806285,Industrial Road,State Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Side Impact,Straight Road,Cloudy,Daylight,Good,No Seatbelt,2022-06-27,2022,6,10,Monday,Jun,0,0,0,Morning
ACC00386,Surat,Katargam PS,2024-09-05 15:29:00,24.09639,71.891891,Bypass Road,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Side Impact,Speed Breaker,Foggy,Dawn/Dusk,Poor,Drunk Driving,2024-09-05,2024,9,15,Thursday,Sep,0,0,0,Afternoon
ACC00390,Mehsana,Visnagar PS,2023-06-17 07:32:00,24.281723,71.893231,SH-41,Urban Road,Minor,3,0,0,2,0,0,0,0,0,0,Single Vehicle,Curve,Foggy,Dawn/Dusk,Unknown,Unknown,2023-06-17,2023,6,7,Saturday,Jun,1,0,2,Morning
ACC00391,Gandhinagar,Sector 21 PS,2024-09-28 15:08:00,20.819045,73.098939,Bypass Road,Urban Road,Minor,3,0,0,3,0,0,0,0,0,0,Side Impact,Speed Breaker,Clear,Daylight,Poor,Mobile Phone Use,2024-09-28,2024,9,15,Saturday,Sep,1,0,3,Afternoon
ACC00392,Junagadh,Junagadh City PS,2021-05-11 10:27:00,21.142775,71.164101,SH-20,State Highway,Grievous,1,0,1,2,0,1,1,0,0,0,Pedestrian Hit,Straight Road,Hazy,Night - No Street Light,Moderate,Unknown,2021-05-11,2021,5,10,Tuesday,May,2,0,5,Morning
ACC00395,Rajkot,Mavdi PS,2023-12-21 13:50:00,23.788136,70.678649,Bypass Road,District Road,Damage Only,1,0,0,0,0,0,0,0,0,0,Pedestrian Hit,Pothole Area,Foggy,Daylight,Unknown,Signal Jumping,2023-12-21,2023,12,13,Thursday,Dec,0,0,0,Afternoon
ACC00396,Junagadh,Junagadh City PS,2021-06-23 10:20:00,23.652914,70.577577,NH-48,National Highway,Minor,4,0,0,3,0,0,2,0,0,1,Single Vehicle,Curve,Hazy,Daylight,Poor,No Seatbelt,2021-06-23,2021,6,10,Wednesday,Jun,1,0,6,Morning
ACC00397,Bharuch,Jhagadia PS,2021-01-17 08:57:00,24.334073,70.910991,SH-6,District Road,Minor,4,0,0,1,0,0,1,0,0,0,Rollover,Speed Breaker,Unknown,Dawn/Dusk,Poor,Unknown,2021-01-17,2021,1,8,Sunday,Jan,1,0,2,Morning
ACC00398,Surat,Piplod PS,2022-11-17 12:46:00,24.147428,71.506978,SH-6,National Highway,Damage Only,1,0,0,0,0,0,0,0,0,0,Head-On,Junction/Intersection,Hazy,Night - No Street Light,Moderate,Over Speeding,2022-11-17,2022,11,12,Thursday,Nov,0,0,0,Afternoon
ACC00400,Mehsana,Visnagar PS,2022-04-29 23:37:00,24.213959,71.459719,Industrial Road,Urban Road,Damage Only,2,0,0,0,0,0,0,0,0,0,Rear-End,Junction/Intersection,Unknown,Night - Street Light On,Unknown,Unknown,2022-04-29,2022,4,23,Friday,Apr,0,0,0,Night
ACC00401,Ahmedabad,Chandkheda PS,2023-11-24 18:12:00,21.761831,72.583335,SH-41,Urban Road,Grievous,4,0,2,0,0,2,2,0,1,1,Hit & Run,Straight Road,Cloudy,Night - Street Light On,Unknown,Wrong Side Driving,2023-11-24,2023,11,18,Friday,Nov,2,0,8,Evening
ACC00402,Gandhinagar,Dehgam PS,2023-10-19 20:27:00,23.269482,72.709817,Ring Road,District Road,Minor,1,0,0,3,0,0,0,0,0,1,Pedestrian Hit,Speed Breaker,Rainy,Dawn/Dusk,Unknown,Signal Jumping,2023-10-19,2023,10,20,Thursday,Oct,1,0,4,Evening
ACC00405,Mehsana,Patan PS,2022-09-27 18:28:00,23.694207,72.636211,Industrial Road,District Road,Fatal,4,0,2,0,2,2,2,1,1,1,Rear-End,Speed Breaker,Unknown,Dawn/Dusk,Unknown,Unknown,2022-09-27,2022,9,18,Tuesday,Sep,3,3,8,Evening
ACC00406,Rajkot,Kalawad PS,2022-11-26 17:02:00,24.194199,72.169274,SH-41,Rural Road,Damage Only,1,0,0,0,0,0,0,0,0,0,Rear-End,Speed Breaker,Unknown,Night - No Street Light,Good,Unknown,2022-11-26,2022,11,17,Saturday,Nov,0,0,0,Afternoon
ACC00407,Rajkot,Bhaktinagar PS,2024-01-15 18:48:00,22.723124,71.097765,NH-48,National Highway,Damage Only,2,0,0,0,0,0,0,0,0,0,Head-On,Speed Breaker,Rainy,Daylight,Poor,Wrong Side Driving,2024-01-15,2024,1,18,Monday,Jan,0,0,0,Evening
ACC00408,Bhavnagar,Palitana PS,2021-06-23 17:38:00,22.808908,73.983247,SH-20,Urban Road,Minor,1,0,0,1,0,0,0,0,0,0,Hit & Run,Straight Road,Hazy,Night - No Street Light,Unknown,Mobile Phone Use,2021-06-23,2021,6,17,Wednesday,Jun,1,0,1,Afternoon
ACC00410,Surat,Katargam PS,2022-05-06 19:37:00,22.439658,74.080949,SH-14,National Highway,Grievous,4,0,1,2,0,1,0,0,0,0,Head-On,Speed Breaker,Cloudy,Daylight,Unknown,Over Speeding,2022-05-06,2022,5,19,Friday,May,2,0,4,Evening
ACC00411,Junagadh,Keshod PS,2022-09-16 18:26:00,23.992878,73.032154,NH-53,Urban Road,Fatal,0,1,0,0,2,1,0,1,1,1,Side Impact,Curve,Rainy,Dawn/Dusk,Unknown,Over Speeding,2022-09-16,2022,9,18,Friday,Sep,3,4,3,Evening
ACC00412,Anand,Khambhat PS,2024-07-18 06:37:00,21.394032,71.464763,NH-27,State Highway,Grievous,2,0,3,2,0,2,1,0,1,0,Side Impact,Pothole Area,Clear,Night - Street Light On,Poor,No Seatbelt,2024-07-18,2024,7,6,Thursday,Jul,2,0,9,Morning
ACC00414,Anand,Petlad PS,2024-11-27 22:31:00,22.575405,72.189313,NH-27,State Highway,Grievous,4,0,2,2,0,0,1,0,0,0,Rollover,Unknown,Unknown,Dawn/Dusk,Good,No Helmet,2024-11-27,2024,11,22,Wednesday,Nov,2,0,5,Night
ACC00416,Mehsana,Patan PS,2022-03-05 00:12:00,23.036806,69.84729,Airport Road,State Highway,Minor,2,0,0,3,0,0,0,0,0,0,Hit & Run,Curve,Unknown,Night - Street Light On,Good,Unknown,2022-03-05,2022,3,0,Saturday,Mar,1,0,3,Night
ACC00417,Gandhinagar,Dehgam PS,2022-04-12 16:46:00,20.982517,74.349294,Expressway,National Highway,Grievous,1,0,2,1,0,1,1,0,1,0,Single Vehicle,Junction/Intersection,Unknown,Dawn/Dusk,Good,No Seatbelt,2022-04-12,2022,4,16,Tuesday,Apr,2,0,6,Afternoon
ACC00419,Bharuch,Jhagadia PS,2021-05-09 20:40:00,22.307846,71.832944,City Road,Rural Road,Grievous,1,0,3,1,0,0,0,0,0,1,Side Impact,Curve,Clear,Dawn/Dusk,Moderate,No Helmet,2021-05-09,2021,5,20,Sunday,May,2,0,5,Evening
ACC00420,Mehsana,Patan PS,2021-09-13 02:03:00,21.836018,72.468191,NH-8,District Road,Minor,4,0,0,1,0,0,0,0,0,0,Rear-End,Flyover,Cloudy,Daylight,Poor,Unknown,2021-09-13,2021,9,2,Monday,Sep,1,0,1,Night
ACC00421,Junagadh,Junagadh City PS,2022-08-27 12:25:00,23.559031,71.877328,City Road,National Highway,Minor,1,0,0,2,0,0,2,0,0,0,Rollover,Unknown,Cloudy,Dawn/Dusk,Unknown,Unknown,2022-08-27,2022,8,12,Saturday,Aug,1,0,4,Afternoon
ACC00425,Mehsana,Kadi PS,2024-05-13 22:21:00,22.704046,69.987679,SH-20,District Road,Minor,2,0,0,3,0,0,0,0,0,1,Rear-End,Flyover,Clear,Dawn/Dusk,Moderate,Over Speeding,2024-05-13,2024,5,22,Monday,May,1,0,4,Night
ACC00426,Bhavnagar,Sihor PS,2022-05-05 15:47:00,23.847402,70.468244,Ring Road,National Highway,Minor,1,0,0,3,0,0,0,0,0,0,Rear-End,Straight Road,Foggy,Daylight,Good,No Helmet,2022-05-05,2022,5,15,Thursday,May,1,0,3,Afternoon
ACC00429,Ahmedabad,Maninagar PS,2021-09-25 06:12:00,23.294028,70.806103,City Road,National Highway,Minor,3,0,0,1,0,0,0,0,0,1,Rear-End,Flyover,Hazy,Night - Street Light On,Poor,Signal Jumping,2021-09-25,2021,9,6,Saturday,Sep,1,0,2,Morning
ACC00430,Vadodara,Gotri PS,2024-04-11 15:13:00,23.70946,71.973785,NH-53,District Road,Fatal,4,0,2,1,1,1,1,1,1,1,Rollover,Pothole Area,Hazy,Night - No Street Light,Unknown,Unknown,2024-04-11,2024,4,15,Thursday,Apr,3,2,7,Afternoon
ACC00431,Bhavnagar,Bhavnagar City PS,2022-03-01 07:57:00,24.070574,70.027794,Ring Road,Urban Road,Minor,1,0,0,2,0,0,1,0,0,1,Rollover,Flyover,Foggy,Night - No Street Light,Good,Signal Jumping,2022-03-01,2022,3,7,Tuesday,Mar,1,0,4,Morning
ACC00432,Rajkot,Bhaktinagar PS,2021-03-26 14:32:00,22.060071,70.676402,NH-8,District Road,Minor,3,0,0,3,0,0,0,0,0,1,Hit & Run,Bridge,Clear,Night - Street Light On,Unknown,Wrong Side Driving,2021-03-26,2021,3,14,Friday,Mar,1,0,4,Afternoon
ACC00434,Rajkot,Bhaktinagar PS,2021-10-10 22:47:00,21.301223,69.875625,SH-20,National Highway,Grievous,2,0,1,1,0,2,0,0,1,0,Pedestrian Hit,Bridge,Hazy,Daylight,Unknown,Unknown,2021-10-10,2021,10,22,Sunday,Oct,2,0,5,Night
ACC00437,Anand,Vallabh Vidyanagar PS,2023-03-12 02:34:00,22.283977,74.16021,City Road,District Road,Minor,4,0,0,1,0,0,0,0,0,0,Side Impact,Straight Road,Unknown,Night - Street Light On,Good,Unknown,2023-03-12,2023,3,2,Sunday,Mar,1,0,1,Night
ACC00438,Ahmedabad,Bodakdev PS,2022-08-05 06:14:00,22.51222,70.422509,NH-48,National Highway,Grievous,4,0,3,1,0,1,0,0,0,0,Rear-End,Bridge,Cloudy,Night - Street Light On,Good,Signal Jumping,2022-08-05,2022,8,6,Friday,Aug,2,0,5,Morning
ACC00439,Rajkot,Kalavad Road PS,2023-06-05 22:42:00,22.877063,71.801199,Airport Road,Urban Road,Minor,1,0,0,2,0,0,2,0,0,0,Single Vehicle,Junction/Intersection,Rainy,Daylight,Moderate,Overloading,2023-06-05,2023,6,22,Monday,Jun,1,0,4,Night
ACC00441,Vadodara,Gotri PS,2021-07-15 12:44:00,21.202598,69.824791,City Road,State Highway,Minor,1,0,0,2,0,0,0,0,0,0,Rollover,Straight Road,Unknown,Night - Street Light On,Unknown,No Seatbelt,2021-07-15,2021,7,12,Thursday,Jul,1,0,2,Afternoon
ACC00443,Mehsana,Mehsana City PS,2021-06-19 17:42:00,24.470085,73.268688,SH-41,Urban Road,Grievous,1,0,3,2,0,0,1,0,0,0,Rear-End,Straight Road,Hazy,Daylight,Moderate,Mobile Phone Use,2021-06-19,2021,6,17,Saturday,Jun,2,0,6,Afternoon
ACC00447,Bhavnagar,Talaja PS,2021-03-31 02:56:00,21.487058,74.293546,NH-27,Urban Road,Grievous,3,0,3,2,0,2,1,0,1,0,Single Vehicle,Flyover,Hazy,Night - Street Light On,Poor,Drunk Driving,2021-03-31,2021,3,2,Wednesday,Mar,2,0,9,Night
ACC00448,Vadodara,Waghodiya PS,2024-09-26 15:04:00,22.899253,70.50894,City Road,Urban Road,Grievous,1,0,1,1,0,1,2,0,0,0,Single Vehicle,Speed Breaker,Unknown,Daylight,Moderate,Over Speeding,2024-09-26,2024,9,15,Thursday,Sep,2,0,5,Afternoon
ACC00449,Surat,Katargam PS,2023-02-07 15:18:00,21.828441,69.599803,Expressway,State Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Rollover,Bridge,Unknown,Night - No Street Light,Moderate,Mobile Phone Use,2023-02-07,2023,2,15,Tuesday,Feb,0,0,0,Afternoon
ACC00451,Rajkot,Mavdi PS,2021-07-07 05:37:00,23.758072,71.296775,Ring Road,State Highway,Fatal,2,2,2,1,0,2,1,1,1,0,Single Vehicle,Curve,Unknown,Night - Street Light On,Moderate,No Seatbelt,2021-07-07,2021,7,5,Wednesday,Jul,3,3,7,Night
ACC00452,Mehsana,Mehsana City PS,2023-01-07 12:24:00,22.13033,72.730047,NH-8,National Highway,Minor,1,0,0,2,0,0,2,0,0,0,Rear-End,Flyover,Cloudy,Daylight,Unknown,No Seatbelt,2023-01-07,2023,1,12,Saturday,Jan,1,0,4,Afternoon
ACC00453,Junagadh,Keshod PS,2022-06-11 12:29:00,21.402838,71.129319,SH-20,State Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Rear-End,Curve,Rainy,Night - Street Light On,Good,Over Speeding,2022-06-11,2022,6,12,Saturday,Jun,0,0,0,Afternoon
ACC00454,Mehsana,Kadi PS,2023-05-02 12:47:00,22.351935,71.806347,Ring Road,Urban Road,Grievous,3,0,2,2,0,2,2,0,1,1,Head-On,Straight Road,Cloudy,Night - Street Light On,Moderate,No Seatbelt,2023-05-02,2023,5,12,Tuesday,May,2,0,10,Afternoon
ACC00460,Junagadh,Junagadh City PS,2023-02-09 19:33:00,23.602274,71.08136,SH-20,Urban Road,Fatal,3,2,1,0,1,0,1,1,1,0,Rollover,Junction/Intersection,Unknown,Night - No Street Light,Poor,Wrong Side Driving,2023-02-09,2023,2,19,Thursday,Feb,3,4,3,Evening
ACC00461,Anand,Vallabh Vidyanagar PS,2021-02-22 19:07:00,21.385551,73.234826,SH-20,Urban Road,Minor,3,0,0,1,0,0,2,0,0,1,Hit & Run,Pothole Area,Cloudy,Dawn/Dusk,Moderate,Over Speeding,2021-02-22,2021,2,19,Monday,Feb,1,0,4,Evening
ACC00464,Mehsana,Mehsana City PS,2024-09-24 04:59:00,23.436906,72.458243,SH-41,State Highway,Minor,4,0,0,3,0,0,2,0,0,1,Rear-End,Flyover,Hazy,Daylight,Poor,No Seatbelt,2024-09-24,2024,9,4,Tuesday,Sep,1,0,6,Night
ACC00467,Vadodara,Gotri PS,2022-08-04 04:47:00,23.785942,71.872946,SH-14,Rural Road,Minor,0,0,0,3,0,0,1,0,0,0,Rollover,Straight Road,Foggy,Dawn/Dusk,Moderate,Overloading,2022-08-04,2022,8,4,Thursday,Aug,1,0,4,Night
ACC00468,Bharuch,Ankleshwar PS,2022-03-08 23:59:00,23.321874,73.552221,NH-53,National Highway,Grievous,4,0,2,1,0,1,2,0,1,1,Pedestrian Hit,Bridge,Foggy,Night - Street Light On,Good,Unknown,2022-03-08,2022,3,23,Tuesday,Mar,2,0,8,Night
ACC00469,Anand,Anand City PS,2023-12-18 23:18:00,24.346093,71.552463,NH-27,National Highway,Damage Only,0,0,0,0,0,0,0,0,0,0,Rear-End,Flyover,Hazy,Daylight,Poor,Overloading,2023-12-18,2023,12,23,Monday,Dec,0,0,0,Night
ACC00470,Bhavnagar,Sihor PS,2023-06-24 22:30:00,20.766185,72.81481,Expressway,National Highway,Minor,4,0,0,3,0,0,0,0,0,0,Single Vehicle,Unknown,Unknown,Daylight,Moderate,No Seatbelt,2023-06-24,2023,6,22,Saturday,Jun,1,0,3,Night
ACC00471,Ahmedabad,Chandkheda PS,2023-08-29 05:03:00,22.471002,70.833075,NH-53,State Highway,Minor,4,0,0,2,0,0,2,0,0,0,Single Vehicle,Curve,Clear,Daylight,Moderate,No Seatbelt,2023-08-29,2023,8,5,Tuesday,Aug,1,0,4,Night
ACC00473,Gandhinagar,Sector 21 PS,2024-04-29 05:24:00,23.065145,71.699966,NH-27,State Highway,Fatal,4,2,2,0,2,2,0,1,0,0,Side Impact,Flyover,Hazy,Night - Street Light On,Unknown,Over Speeding,2024-04-29,2024,4,5,Monday,Apr,3,5,4,Night
ACC00475,Ahmedabad,Bapunagar PS,2022-09-04 11:34:00,24.594674,69.664524,NH-48,Urban Road,Minor,4,0,0,3,0,0,1,0,0,1,Rollover,Junction/Intersection,Unknown,Dawn/Dusk,Moderate,Unknown,2022-09-04,2022,9,11,Sunday,Sep,1,0,5,Morning
ACC00477,Ahmedabad,Bapunagar PS,2022-06-07 08:24:00,20.851269,74.051865,City Road,National Highway,Damage Only,3,0,0,0,0,0,0,0,0,0,Hit & Run,Curve,Hazy,Night - Street Light On,Good,Unknown,2022-06-07,2022,6,8,Tuesday,Jun,0,0,0,Morning
ACC00479,Bharuch,Jhagadia PS,2022-07-14 04:55:00,21.358775,74.270757,SH-6,District Road,Fatal,4,0,2,1,2,2,1,1,0,0,Hit & Run,Flyover,Clear,Night - Street Light On,Poor,Unknown,2022-07-14,2022,7,4,Thursday,Jul,3,3,6,Night
ACC00480,Vadodara,Waghodiya PS,2023-03-09 05:22:00,23.217935,71.575532,SH-41,National Highway,Minor,2,0,0,1,0,0,1,0,0,1,Hit & Run,Curve,Foggy,Daylight,Moderate,Unknown,2023-03-09,2023,3,5,Thursday,Mar,1,0,3,Night
ACC00481,Surat,Varachha PS,2024-12-19 07:43:00,23.351219,74.313352,NH-8,National Highway,Minor,0,0,0,2,0,0,1,0,0,1,Hit & Run,Junction/Intersection,Cloudy,Night - Street Light On,Poor,Unknown,2024-12-19,2024,12,7,Thursday,Dec,1,0,4,Morning
ACC00482,Ahmedabad,Naranpura PS,2021-06-07 23:15:00,20.85952,72.78348,Airport Road,State Highway,Grievous,1,0,1,1,0,0,2,0,1,0,Hit & Run,Straight Road,Cloudy,Night - Street Light On,Unknown,Overloading,2021-06-07,2021,6,23,Monday,Jun,2,0,5,Night
ACC00483,Junagadh,Veraval PS,2022-05-16 23:42:00,23.887472,71.427102,Industrial Road,State Highway,Grievous,3,0,0,0,0,0,1,0,1,1,Head-On,Curve,Unknown,Night - Street Light On,Moderate,Drunk Driving,2022-05-16,2022,5,23,Monday,May,2,0,3,Night
ACC00484,Anand,Vallabh Vidyanagar PS,2023-02-04 03:21:00,21.24892,72.928408,NH-27,Urban Road,Grievous,4,0,0,0,0,2,2,0,1,0,Side Impact,Junction/Intersection,Foggy,Night - Street Light On,Good,Unknown,2023-02-04,2023,2,3,Saturday,Feb,2,0,5,Night
ACC00486,Anand,Anand City PS,2023-09-26 00:09:00,21.25062,70.45815,SH-20,Urban Road,Damage Only,4,0,0,0,0,0,0,0,0,0,Hit & Run,Speed Breaker,Foggy,Daylight,Unknown,Unknown,2023-09-26,2023,9,0,Tuesday,Sep,0,0,0,Night
ACC00488,Anand,Borsad PS,2024-02-01 15:51:00,20.686196,73.016126,Ring Road,National Highway,Grievous,1,0,1,0,0,2,1,0,0,0,Rollover,Pothole Area,Cloudy,Night - Street Light On,Good,Drunk Driving,2024-02-01,2024,2,15,Thursday,Feb,2,0,4,Afternoon
ACC00490,Rajkot,Bhaktinagar PS,2024-07-12 20:09:00,20.708561,74.339512,NH-53,District Road,Minor,4,0,0,3,0,0,1,0,0,0,Hit & Run,Unknown,Rainy,Daylight,Good,No Seatbelt,2024-07-12,2024,7,20,Friday,Jul,1,0,4,Evening
ACC00491,Rajkot,Kalavad Road PS,2023-05-23 15:03:00,23.061817,69.79625,SH-14,State Highway,Minor,1,0,0,1,0,0,2,0,0,0,Side Impact,Curve,Foggy,Daylight,Moderate,Over Speeding,2023-05-23,2023,5,15,Tuesday,May,1,0,3,Afternoon
ACC00492,Rajkot,Kalavad Road PS,2023-08-25 08:58:00,22.082175,71.195104,SH-20,National Highway,Fatal,3,2,2,0,2,0,1,1,0,1,Side Impact,Pothole Area,Clear,Night - Street Light On,Poor,No Helmet,2023-08-25,2023,8,8,Friday,Aug,3,5,4,Morning
ACC00493,Ahmedabad,Maninagar PS,2024-07-13 23:38:00,22.798183,72.222438,SH-6,Urban Road,Minor,2,0,0,3,0,0,2,0,0,0,Rear-End,Straight Road,Clear,Night - No Street Light,Poor,Overloading,2024-07-13,2024,7,23,Saturday,Jul,1,0,5,Night
ACC00494,Surat,Katargam PS,2022-01-28 13:35:00,24.201299,73.430355,Airport Road,Urban Road,Minor,4,0,0,2,0,0,2,0,0,0,Side Impact,Bridge,Unknown,Daylight,Unknown,Drunk Driving,2022-01-28,2022,1,13,Friday,Jan,1,0,4,Afternoon
